drug,protein,Genesym
DB01242,1812,DRD1
DB01242,6530,SLC6A2
DB01242,3274,HRH2
DB01242,6532,SLC6A4
DB01242,148,ADRA1A
DB01242,1814,DRD3
DB01242,3362,HTR6
DB01242,6531,SLC6A3
DB01243,240,ALOX5
DB01243,239,ALOX12
DB01244,3757,KCNH2
DB01245,1129,CHRM2
DB01245,11255,HRH3
DB01254,658,BMPR1B
DB01254,10494,STK25
DB01254,6790,AURKA
DB01254,2051,EPHB6
DB01254,9175,MAP3K13
DB01254,6885,MAP3K7
DB01254,8767,RIPK2
DB01254,1956,EGFR
DB01254,5894,RAF1
DB01254,1436,CSF1R
DB01254,5979,RET
DB01254,3055,HCK
DB01254,1576,CYP3A4
DB01254,2260,FGFR1
DB01254,673,BRAF
DB01254,5156,PDGFRA
DB01254,2065,ERBB3
DB01254,2261,FGFR3
DB01254,2048,EPHB2
DB01254,7297,TYK2
DB01254,3791,KDR
DB01254,2322,FLT3
DB01254,657,BMPR1A
DB01254,7006,TEC
DB01254,7294,TXK
DB01254,1452,CSNK1A1
DB01254,4751,NEK2
DB01254,3718,JAK3
DB01254,3984,LIMK1
DB01254,2050,EPHB4
DB01254,4661,MYT1
DB01254,695,BTK
DB01254,780,DDR1
DB01254,5871,MAP4K2
DB01254,6789,STK4
DB01254,5607,MAP2K5
DB01254,5753,PTK6
DB01254,2066,ERBB4
DB01254,1432,MAPK14
DB01254,4921,DDR2
DB01254,388228,SBK1
DB01254,80122,MAP3K19
DB01254,25989,ULK3
DB01254,7444,VRK2
DB01254,50488,MINK1
DB01254,79858,NEK11
DB01254,140901,STK35
DB01254,9212,AURKB
DB01254,4215,MAP3K3
DB01254,85366,MYLK2
DB01254,51347,TAOK3
DB01254,285220,EPHA6
DB01254,9344,TAOK2
DB01254,23387,SIK3
DB01254,10746,MAP3K2
DB01259,5287,PIK3C2B
DB01259,5609,MAP2K7
DB01259,6793,STK10
DB01259,1576,CYP3A4
DB01259,5159,PDGFRB
DB01259,2065,ERBB3
DB01259,5607,MAP2K5
DB01259,2066,ERBB4
DB01259,9748,SLK
DB01259,5298,PI4KB
DB01268,658,BMPR1B
DB01268,10733,PLK4
DB01268,1111,CHEK1
DB01268,6790,AURKA
DB01268,2580,GAK
DB01268,2051,EPHB6
DB01268,9128,PRPF4
DB01268,1613,DAPK3
DB01268,3717,JAK2
DB01268,23476,BRD4
DB01268,9252,RPS6KA5
DB01268,8986,RPS6KA4
DB01268,8576,STK16
DB01268,9262,STK17B
DB01268,6793,STK10
DB01268,11200,CHEK2
DB01268,25,ABL1
DB01268,1956,EGFR
DB01268,4914,NTRK1
DB01268,3643,INSR
DB01268,3932,LCK
DB01268,2534,FYN
DB01268,7525,YES1
DB01268,4067,LYN
DB01268,5979,RET
DB01268,4233,MET
DB01268,3055,HCK
DB01268,2268,FGR
DB01268,2260,FGFR1
DB01268,1019,CDK4
DB01268,6714,SRC
DB01268,5261,PHKG2
DB01268,2241,FER
DB01268,5578,PRKCA
DB01268,1459,CSNK2A2
DB01268,2263,FGFR2
DB01268,2264,FGFR4
DB01268,2261,FGFR3
DB01268,6198,RPS6KB1
DB01268,3716,JAK1
DB01268,1017,CDK2
DB01268,4140,MARK3
DB01268,7297,TYK2
DB01268,7272,TTK
DB01268,7075,TIE1
DB01268,4145,MATK
DB01268,27,ABL2
DB01268,5601,MAPK9
DB01268,6416,MAP2K4
DB01268,5606,MAP2K3
DB01268,1452,CSNK1A1
DB01268,1195,CLK1
DB01268,1196,CLK2
DB01268,6197,RPS6KA3
DB01268,4751,NEK2
DB01268,5608,MAP2K6
DB01268,5602,MAPK10
DB01268,2044,EPHA5
DB01268,2050,EPHB4
DB01268,2047,EPHB1
DB01268,1457,CSNK2A1
DB01268,8788,DLK1
DB01268,1020,CDK5
DB01268,5127,CDK16
DB01268,5747,PTK2
DB01268,695,BTK
DB01268,10188,TNK2
DB01268,3757,KCNH2
DB01268,5871,MAP4K2
DB01268,7786,MAP3K12
DB01268,6789,STK4
DB01268,5562,PRKAA1
DB01268,5607,MAP2K5
DB01268,5598,MAPK7
DB01268,8899,PRP4K
DB01268,816,CAMK2B
DB01268,818,CAMK2G
DB01268,817,CAMK2D
DB01268,5753,PTK6
DB01268,8536,CAMK1
DB01268,6196,RPS6KA2
DB01268,2045,EPHA7
DB01268,6195,RPS6KA1
DB01268,4638,MYLK
DB01268,5260,PHKG1
DB01268,4921,DDR2
DB01268,22848,AAK1
DB01268,91807,MYLK3
DB01268,388228,SBK1
DB01268,120892,LRRK2
DB01268,25778,DSTYK
DB01268,2011,MARK2
DB01268,204851,HIPK1
DB01268,57118,CAMK1D
DB01268,84254,CAMKK1
DB01268,53904,MYO3A
DB01268,23678,SGK3
DB01268,9212,AURKB
DB01268,57172,CAMK1G
DB01268,10645,CAMKK2
DB01268,8569,MKNK1
DB01268,85366,MYLK2
DB01268,9748,SLK
DB01268,80351,TNKS2
DB01268,57396,CLK4
DB01268,2872,MKNK2
DB01268,54861,SNRK
DB01268,55589,BMP2K
DB01268,51135,IRAK4
DB01268,10769,PLK2
DB01268,11040,PIM2
DB01268,9263,STK17A
DB01268,285220,EPHA6
DB01268,23604,DAPK2
DB01268,238,ALK
DB01268,6795,AURKC
DB01268,815,CAMK2A
DB01268,23012,STK38L
DB01268,11183,MAP4K5
DB01268,4216,MAP3K4
DB01333,6564,SLC15A1
DB01339,6582,SLC22A2
DB01367,4128,MAOA
DB01392,1565,CYP2D6
DB01392,146,ADRA1D
DB01392,3354,HTR1E
DB01392,3355,HTR1F
DB01392,6532,SLC6A4
DB01392,148,ADRA1A
DB01392,147,ADRA1B
DB01392,3357,HTR2B
DB01420,1586,CYP17A1
DB01586,6554,SLC10A1
DB01620,59340,HRH4
DB01645,8972,MGAM
DB01645,2103,ESRRB
DB01645,25,ABL1
DB01645,1956,EGFR
DB01645,2101,ESRRA
DB01645,3292,HSD17B1
DB01645,5578,PRKCA
DB01645,3293,HSD17B3
DB01645,316,AOX1
DB01645,1432,MAPK14
DB01645,9429,ABCG2
DB01656,5141,PDE4A
DB01656,5142,PDE4B
DB01656,5144,PDE4D
DB01708,6462,SHBG
DB01708,2539,G6PD
DB01718,1759,DNM1
DB01941,5914,RARA
DB01941,5915,RARB
DB01941,5916,RARG
DB01941,6256,RXRA
DB01941,5468,PPARG
DB02115,3558,IL2
DB02255,102,ADAM10
DB02255,8038,ADAM12
DB02255,9507,ADAMTS4
DB02255,4312,MMP1
DB02255,4313,MMP2
DB02255,4314,MMP3
DB02255,4316,MMP7
DB02255,4318,MMP9
DB02255,4317,MMP8
DB02255,4321,MMP12
DB02255,4323,MMP14
DB02255,4324,MMP15
DB02255,6868,ADAM17
DB02255,8754,ADAM9
DB02255,4326,MMP17
DB02255,11096,ADAMTS5
DB02266,7276,TTR
DB02266,4353,MPO
DB02266,1646,AKR1C2
DB02266,54795,TRPM4
DB02375,1543,CYP1A1
DB02375,3643,INSR
DB02375,4137,MAPT
DB02375,5292,PIM1
DB02375,1588,CYP19A1
DB02375,4363,ABCC1
DB02375,2322,FLT3
DB02375,3293,HSD17B3
DB02375,7498,XDH
DB02375,5602,MAPK10
DB02375,3735,KARS1
DB02375,4638,MYLK
DB02375,1432,MAPK14
DB02375,1545,CYP1B1
DB02546,9611,NCOR1
DB02546,9759,HDAC4
DB02546,51564,HDAC7
DB02546,83933,HDAC10
DB02546,79885,HDAC11
DB02546,9734,HDAC9
DB02546,10014,HDAC5
DB02567,658,BMPR1B
DB02567,10494,STK25
DB02567,2580,GAK
DB02567,2051,EPHB6
DB02567,8767,RIPK2
DB02567,3717,JAK2
DB02567,6793,STK10
DB02567,9448,MAP4K4
DB02567,25,ABL1
DB02567,1956,EGFR
DB02567,5894,RAF1
DB02567,3932,LCK
DB02567,2534,FYN
DB02567,4869,NPM1
DB02567,2242,FES
DB02567,1436,CSF1R
DB02567,7525,YES1
DB02567,4067,LYN
DB02567,5979,RET
DB02567,4233,MET
DB02567,3055,HCK
DB02567,5159,PDGFRB
DB02567,2268,FGR
DB02567,3815,KIT
DB02567,2260,FGFR1
DB02567,6714,SRC
DB02567,673,BRAF
DB02567,5156,PDGFRA
DB02567,2241,FER
DB02567,2321,FLT1
DB02567,2041,EPHA1
DB02567,2263,FGFR2
DB02567,2065,ERBB3
DB02567,2264,FGFR4
DB02567,2261,FGFR3
DB02567,3716,JAK1
DB02567,92,ACVR2A
DB02567,4140,MARK3
DB02567,1969,EPHA2
DB02567,2042,EPHA3
DB02567,2046,EPHA8
DB02567,2048,EPHB2
DB02567,7297,TYK2
DB02567,7465,WEE1
DB02567,5596,MAPK4
DB02567,7075,TIE1
DB02567,2324,FLT4
DB02567,3791,KDR
DB02567,5605,MAP2K2
DB02567,2322,FLT3
DB02567,657,BMPR1A
DB02567,91,ACVR1B
DB02567,7046,TGFBR1
DB02567,94,ACVRL1
DB02567,7048,TGFBR2
DB02567,1445,CSK
DB02567,7006,TEC
DB02567,7294,TXK
DB02567,27,ABL2
DB02567,2444,FRK
DB02567,6850,SYK
DB02567,5599,MAPK8
DB02567,6416,MAP2K4
DB02567,5606,MAP2K3
DB02567,640,BLK
DB02567,660,BMX
DB02567,4751,NEK2
DB02567,3718,JAK3
DB02567,5608,MAP2K6
DB02567,3984,LIMK1
DB02567,3985,LIMK2
DB02567,2049,EPHB3
DB02567,2044,EPHA5
DB02567,2050,EPHB4
DB02567,2047,EPHB1
DB02567,2043,EPHA4
DB02567,150094,SIK1
DB02567,4293,MAP3K9
DB02567,5604,MAP2K1
DB02567,7010,TEK
DB02567,4294,MAP3K10
DB02567,90,ACVR1
DB02567,4486,MST1R
DB02567,695,BTK
DB02567,7301,TYRO3
DB02567,10188,TNK2
DB02567,780,DDR1
DB02567,5871,MAP4K2
DB02567,6789,STK4
DB02567,5607,MAP2K5
DB02567,6788,STK3
DB02567,8711,TNK1
DB02567,8737,RIPK1
DB02567,93,ACVR2B
DB02567,5753,PTK6
DB02567,2185,PTK2B
DB02567,2066,ERBB4
DB02567,7016,TESK1
DB02567,5600,MAPK11
DB02567,4916,NTRK3
DB02567,1432,MAPK14
DB02567,5597,MAPK6
DB02567,4921,DDR2
DB02567,91807,MYLK3
DB02567,80122,MAP3K19
DB02567,51086,TNNI3K
DB02567,120892,LRRK2
DB02567,8476,CDC42BPA
DB02567,55561,CDC42BPG
DB02567,2011,MARK2
DB02567,57551,TAOK1
DB02567,8491,MAP4K3
DB02567,9024,BRSK2
DB02567,167359,NIM1K
DB02567,50488,MINK1
DB02567,79858,NEK11
DB02567,56997,COQ8A
DB02567,79837,PIP4K2C
DB02567,84446,BRSK1
DB02567,140901,STK35
DB02567,11184,MAP4K1
DB02567,79934,COQ8B
DB02567,4750,NEK1
DB02567,9088,PKMYT1
DB02567,4215,MAP3K3
DB02567,23235,SIK2
DB02567,85366,MYLK2
DB02567,9748,SLK
DB02567,51347,TAOK3
DB02567,6725,SRMS
DB02567,1263,PLK3
DB02567,27148,STK36
DB02567,55351,STK32B
DB02567,51776,MAP3K20
DB02567,51765,STK26
DB02567,440275,EIF2AK4
DB02567,51701,NLK
DB02567,285220,EPHA6
DB02567,23043,TNIK
DB02567,9344,TAOK2
DB02567,6795,AURKC
DB02567,23387,SIK3
DB02567,10746,MAP3K2
DB02567,11183,MAP4K5
DB02567,9578,CDC42BPB
DB02567,8428,STK24
DB02567,4216,MAP3K4
DB02587,6513,SLC2A1
DB02587,107,ADCY1
DB02656,5293,PIK3CD
DB02656,23476,BRD4
DB02656,6046,BRD2
DB02656,5295,PIK3R1
DB02656,5290,PIK3CA
DB02656,5291,PIK3CB
DB02656,2475,MTOR
DB02656,2932,GSK3B
DB02656,5347,PLK1
DB02656,5591,PRKDC
DB02656,8019,BRD3
DB02656,415116,PIM3
DB02656,1263,PLK3
DB02709,771,CA12
DB02709,759,CA1
DB02709,760,CA2
DB02709,2099,ESR1
DB02709,761,CA3
DB02709,762,CA4
DB02709,765,CA6
DB02709,763,CA5A
DB02709,5468,PPARG
DB02709,1545,CYP1B1
DB02709,768,CA9
DB02709,23632,CA14
DB02709,11238,CA5B
DB02733,3643,INSR
DB02733,1020,CDK5
DB02789,6462,SHBG
DB02877,5914,RARA
DB02877,5916,RARG
DB03044,5603,MAPK13
DB03044,6885,MAP3K7
DB03044,8767,RIPK2
DB03044,6793,STK10
DB03044,25,ABL1
DB03044,1956,EGFR
DB03044,7124,TNF
DB03044,4914,NTRK1
DB03044,3315,HSPB1
DB03044,5579,PRKCB
DB03044,3932,LCK
DB03044,7525,YES1
DB03044,4067,LYN
DB03044,5979,RET
DB03044,3055,HCK
DB03044,5159,PDGFRB
DB03044,2268,FGR
DB03044,3815,KIT
DB03044,673,BRAF
DB03044,2321,FLT1
DB03044,2041,EPHA1
DB03044,2264,FGFR4
DB03044,5594,MAPK1
DB03044,1969,EPHA2
DB03044,2042,EPHA3
DB03044,2046,EPHA8
DB03044,2048,EPHB2
DB03044,7272,TTK
DB03044,2324,FLT4
DB03044,3791,KDR
DB03044,2322,FLT3
DB03044,27,ABL2
DB03044,2444,FRK
DB03044,5599,MAPK8
DB03044,5601,MAPK9
DB03044,2932,GSK3B
DB03044,1022,CDK7
DB03044,6300,MAPK12
DB03044,5602,MAPK10
DB03044,2049,EPHB3
DB03044,2044,EPHA5
DB03044,2050,EPHB4
DB03044,2047,EPHB1
DB03044,2043,EPHA4
DB03044,1020,CDK5
DB03044,7010,TEK
DB03044,5747,PTK2
DB03044,5580,PRKCD
DB03044,8621,CDK13
DB03044,2185,PTK2B
DB03044,2045,EPHA7
DB03044,5600,MAPK11
DB03044,4915,NTRK2
DB03044,4921,DDR2
DB03044,50488,MINK1
DB03044,8569,MKNK1
DB03044,9748,SLK
DB03044,2872,MKNK2
DB03044,285220,EPHA6
DB03044,23043,TNIK
DB03285,231,AKR1B1
DB03467,6462,SHBG
DB03467,1588,CYP19A1
DB03467,3292,HSD17B1
DB03467,873,CBR1
DB03467,4363,ABCC1
DB03467,1545,CYP1B1
DB03496,658,BMPR1B
DB03496,10733,PLK4
DB03496,2580,GAK
DB03496,6885,MAP3K7
DB03496,23396,PIP5K1C
DB03496,3717,JAK2
DB03496,9475,ROCK2
DB03496,9252,RPS6KA5
DB03496,6792,CDKL5
DB03496,9262,STK17B
DB03496,25,ABL1
DB03496,3815,KIT
DB03496,5292,PIM1
DB03496,5261,PHKG2
DB03496,5156,PDGFRA
DB03496,5578,PRKCA
DB03496,4117,MAK
DB03496,2041,EPHA1
DB03496,2065,ERBB3
DB03496,6198,RPS6KB1
DB03496,92,ACVR2A
DB03496,7297,TYK2
DB03496,2322,FLT3
DB03496,94,ACVRL1
DB03496,2444,FRK
DB03496,5599,MAPK8
DB03496,6416,MAP2K4
DB03496,5606,MAP2K3
DB03496,1452,CSNK1A1
DB03496,1195,CLK1
DB03496,1196,CLK2
DB03496,1198,CLK3
DB03496,3654,IRAK1
DB03496,6197,RPS6KA3
DB03496,3718,JAK3
DB03496,2044,EPHA5
DB03496,2047,EPHB1
DB03496,5127,CDK16
DB03496,5581,PRKCE
DB03496,5580,PRKCD
DB03496,5871,MAP4K2
DB03496,5562,PRKAA1
DB03496,5607,MAP2K5
DB03496,6093,ROCK1
DB03496,816,CAMK2B
DB03496,818,CAMK2G
DB03496,817,CAMK2D
DB03496,1859,DYRK1A
DB03496,8621,CDK13
DB03496,2185,PTK2B
DB03496,2066,ERBB4
DB03496,6196,RPS6KA2
DB03496,6195,RPS6KA1
DB03496,6011,GRK1
DB03496,120892,LRRK2
DB03496,25778,DSTYK
DB03496,57551,TAOK1
DB03496,7444,VRK2
DB03496,204851,HIPK1
DB03496,9706,ULK2
DB03496,50488,MINK1
DB03496,84254,CAMKK1
DB03496,122011,CSNK1A1L
DB03496,147746,HIPK4
DB03496,79837,PIP4K2C
DB03496,140901,STK35
DB03496,131890,GRK7
DB03496,65061,CDK15
DB03496,10645,CAMKK2
DB03496,4215,MAP3K3
DB03496,27102,EIF2AK1
DB03496,51347,TAOK3
DB03496,28996,HIPK2
DB03496,10114,HIPK3
DB03496,2872,MKNK2
DB03496,53944,CSNK1G1
DB03496,51135,IRAK4
DB03496,11040,PIM2
DB03496,9263,STK17A
DB03496,29110,TBK1
DB03496,27330,RPS6KA6
DB03496,9344,TAOK2
DB03496,22858,CILK1
DB03496,815,CAMK2A
DB03496,10746,MAP3K2
DB03566,759,CA1
DB03566,760,CA2
DB03566,762,CA4
DB03566,765,CA6
DB03566,763,CA5A
DB03566,768,CA9
DB03566,23632,CA14
DB03566,11238,CA5B
DB03608,6303,SAT1
DB03796,7097,TLR2
DB03796,2170,FABP3
DB03796,2169,FABP2
DB03796,2167,FABP4
DB03796,2171,FABP5
DB03880,4312,MMP1
DB03880,4313,MMP2
DB03880,4314,MMP3
DB03880,4316,MMP7
DB03880,4318,MMP9
DB03880,4322,MMP13
DB03880,4323,MMP14
DB03880,6868,ADAM17
DB04115,43,ACHE
DB04216,771,CA12
DB04216,9891,NUAK1
DB04216,1956,EGFR
DB04216,759,CA1
DB04216,760,CA2
DB04216,5319,PLA2G1B
DB04216,1543,CYP1A1
DB04216,4353,MPO
DB04216,1544,CYP1A2
DB04216,983,CDK1
DB04216,761,CA3
DB04216,3480,IGF1R
DB04216,5243,ABCB1
DB04216,4313,MMP2
DB04216,4314,MMP3
DB04216,4233,MET
DB04216,240,ALOX5
DB04216,1588,CYP19A1
DB04216,6714,SRC
DB04216,4318,MMP9
DB04216,231,AKR1B1
DB04216,239,ALOX12
DB04216,4128,MAOA
DB04216,1815,DRD4
DB04216,762,CA4
DB04216,765,CA6
DB04216,3577,CXCR1
DB04216,5295,PIK3R1
DB04216,554,AVPR2
DB04216,558,AXL
DB04216,207,AKT1
DB04216,4363,ABCC1
DB04216,763,CA5A
DB04216,3791,KDR
DB04216,2322,FLT3
DB04216,4322,MMP13
DB04216,7498,XDH
DB04216,1233,CCR4
DB04216,4751,NEK2
DB04216,5347,PLK1
DB04216,5602,MAPK10
DB04216,1457,CSNK2A1
DB04216,2739,GLO1
DB04216,5747,PTK2
DB04216,816,CAMK2B
DB04216,5585,PKN1
DB04216,1432,MAPK14
DB04216,1545,CYP1B1
DB04216,768,CA9
DB04216,9212,AURKB
DB04216,10783,NEK6
DB04216,50507,NOX4
DB04216,23632,CA14
DB04216,238,ALK
DB04216,9429,ABCG2
DB04297,8841,HDAC3
DB04297,2152,F3
DB04297,9759,HDAC4
DB04297,3065,HDAC1
DB04297,23450,SF3B3
DB04297,3066,HDAC2
DB04297,83933,HDAC10
DB04297,79885,HDAC11
DB04297,10013,HDAC6
DB04297,9734,HDAC9
DB04297,10014,HDAC5
DB04365,1129,CHRM2
DB04365,1132,CHRM4
DB04365,1133,CHRM5
DB04365,1131,CHRM3
DB04573,6462,SHBG
DB04665,771,CA12
DB04665,761,CA3
DB04665,762,CA4
DB04665,765,CA6
DB04665,763,CA5A
DB04665,768,CA9
DB04665,23632,CA14
DB04665,11238,CA5B
DB04690,1111,CHEK1
DB04690,3178,HNRNPA1
DB04716,3551,IKBKB
DB04716,2534,FYN
DB04716,3055,HCK
DB04716,5578,PRKCA
DB04716,2321,FLT1
DB04716,2263,FGFR2
DB04716,3716,JAK1
DB04716,1017,CDK2
DB04716,2324,FLT4
DB04716,3791,KDR
DB04716,1445,CSK
DB04725,9536,PTGES
DB04725,240,ALOX5
DB04725,5742,PTGS1
DB04725,5743,PTGS2
DB04743,4353,MPO
DB04751,10298,PAK4
DB04751,3643,INSR
DB04751,983,CDK1
DB04751,1019,CDK4
DB04751,1017,CDK2
DB04794,1586,CYP17A1
DB04794,1595,CYP51A1
DB04835,1234,CCR5
DB04841,4988,OPRM1
DB04841,4985,OPRD1
DB04841,4986,OPRK1
DB04841,774,CACNA1B
DB04843,1129,CHRM2
DB04844,6571,SLC18A2
DB04849,10733,PLK4
DB04849,2580,GAK
DB04849,2051,EPHB6
DB04849,8767,RIPK2
DB04849,2081,ERN1
DB04849,6793,STK10
DB04849,9448,MAP4K4
DB04849,25,ABL1
DB04849,1956,EGFR
DB04849,2064,ERBB2
DB04849,3932,LCK
DB04849,2534,FYN
DB04849,1436,CSF1R
DB04849,7525,YES1
DB04849,4067,LYN
DB04849,5979,RET
DB04849,4233,MET
DB04849,3055,HCK
DB04849,5159,PDGFRB
DB04849,2268,FGR
DB04849,3815,KIT
DB04849,2260,FGFR1
DB04849,6714,SRC
DB04849,5156,PDGFRA
DB04849,2321,FLT1
DB04849,2041,EPHA1
DB04849,2263,FGFR2
DB04849,2065,ERBB3
DB04849,2264,FGFR4
DB04849,2261,FGFR3
DB04849,2042,EPHA3
DB04849,2046,EPHA8
DB04849,4058,LTK
DB04849,558,AXL
DB04849,7075,TIE1
DB04849,2324,FLT4
DB04849,3791,KDR
DB04849,5605,MAP2K2
DB04849,2322,FLT3
DB04849,91,ACVR1B
DB04849,7046,TGFBR1
DB04849,27,ABL2
DB04849,2444,FRK
DB04849,1454,CSNK1E
DB04849,640,BLK
DB04849,2050,EPHB4
DB04849,7010,TEK
DB04849,90,ACVR1
DB04849,4486,MST1R
DB04849,695,BTK
DB04849,7301,TYRO3
DB04849,780,DDR1
DB04849,5871,MAP4K2
DB04849,10461,MERTK
DB04849,6789,STK4
DB04849,5607,MAP2K5
DB04849,5753,PTK6
DB04849,2066,ERBB4
DB04849,2045,EPHA7
DB04849,4921,DDR2
DB04849,80122,MAP3K19
DB04849,8491,MAP4K3
DB04849,50488,MINK1
DB04849,140901,STK35
DB04849,11184,MAP4K1
DB04849,9212,AURKB
DB04849,27102,EIF2AK1
DB04849,65975,STK33
DB04849,23235,SIK2
DB04849,9748,SLK
DB04849,51347,TAOK3
DB04849,51765,STK26
DB04849,285220,EPHA6
DB04849,23043,TNIK
DB04849,9344,TAOK2
DB04849,238,ALK
DB04849,6795,AURKC
DB04849,11183,MAP4K5
DB04855,3741,KCNA5
DB04855,3757,KCNH2
DB04861,3350,HTR1A
DB04864,43,ACHE
DB04868,2051,EPHB6
DB04868,771,CA12
DB04868,6793,STK10
DB04868,759,CA1
DB04868,760,CA2
DB04868,5894,RAF1
DB04868,3932,LCK
DB04868,2534,FYN
DB04868,1436,CSF1R
DB04868,761,CA3
DB04868,7525,YES1
DB04868,4067,LYN
DB04868,5979,RET
DB04868,3055,HCK
DB04868,5159,PDGFRB
DB04868,2268,FGR
DB04868,6714,SRC
DB04868,673,BRAF
DB04868,5156,PDGFRA
DB04868,2041,EPHA1
DB04868,762,CA4
DB04868,765,CA6
DB04868,1969,EPHA2
DB04868,2042,EPHA3
DB04868,2046,EPHA8
DB04868,2048,EPHB2
DB04868,763,CA5A
DB04868,7075,TIE1
DB04868,2322,FLT3
DB04868,1445,CSK
DB04868,27,ABL2
DB04868,2444,FRK
DB04868,5599,MAPK8
DB04868,5601,MAPK9
DB04868,1195,CLK1
DB04868,640,BLK
DB04868,5602,MAPK10
DB04868,2049,EPHB3
DB04868,2044,EPHA5
DB04868,2050,EPHB4
DB04868,2047,EPHB1
DB04868,2043,EPHA4
DB04868,7010,TEK
DB04868,780,DDR1
DB04868,5607,MAP2K5
DB04868,5600,MAPK11
DB04868,4916,NTRK3
DB04868,1432,MAPK14
DB04868,4915,NTRK2
DB04868,768,CA9
DB04868,4921,DDR2
DB04868,51086,TNNI3K
DB04868,57551,TAOK1
DB04868,79837,PIP4K2C
DB04868,11184,MAP4K1
DB04868,51347,TAOK3
DB04868,57396,CLK4
DB04868,51776,MAP3K20
DB04868,285220,EPHA6
DB04868,23632,CA14
DB04868,9578,CDC42BPB
DB04873,3360,HTR4
DB04876,2191,FAP
DB04876,54878,DPP8
DB04876,91039,DPP9
DB04878,2548,GAA
DB04879,1956,EGFR
DB04879,1436,CSF1R
DB04879,5159,PDGFRB
DB04879,3815,KIT
DB04879,2321,FLT1
DB04879,2324,FLT4
DB04879,3791,KDR
DB04879,1024,CDK8
DB04879,5753,PTK6
DB04879,80122,MAP3K19
DB04879,23097,CDK19
DB04881,5243,ABCB1
DB04881,9429,ABCG2
DB04896,6530,SLC6A2
DB04896,6532,SLC6A4
DB04905,4048,LTA4H
DB04942,5916,RARG
DB04946,1129,CHRM2
DB04946,1132,CHRM4
DB04946,3350,HTR1A
DB04946,150,ADRA2A
DB04946,1128,CHRM1
DB04946,1813,DRD2
DB04946,151,ADRA2B
DB04946,152,ADRA2C
DB04946,1812,DRD1
DB04946,1815,DRD4
DB04946,1816,DRD5
DB04946,6530,SLC6A2
DB04946,3352,HTR1D
DB04946,3356,HTR2A
DB04946,3358,HTR2C
DB04946,3363,HTR7
DB04946,3269,HRH1
DB04946,1814,DRD3
DB04946,3362,HTR6
DB04946,6531,SLC6A3
DB04946,10280,SIGMAR1
DB04953,3786,KCNQ3
DB04953,3785,KCNQ2
DB04953,9132,KCNQ4
DB04953,56479,KCNQ5
DB04960,1576,CYP3A4
DB04960,2342,FNTB
DB05013,5582,PRKCG
DB05013,5579,PRKCB
DB05013,5578,PRKCA
DB05013,5581,PRKCE
DB05013,5580,PRKCD
DB05039,153,ADRB1
DB05076,5950,RBP4
DB05294,658,BMPR1B
DB05294,10733,PLK4
DB05294,2580,GAK
DB05294,2051,EPHB6
DB05294,8767,RIPK2
DB05294,9475,ROCK2
DB05294,6793,STK10
DB05294,25,ABL1
DB05294,1956,EGFR
DB05294,3932,LCK
DB05294,2534,FYN
DB05294,1436,CSF1R
DB05294,7525,YES1
DB05294,4067,LYN
DB05294,5979,RET
DB05294,4233,MET
DB05294,3055,HCK
DB05294,5159,PDGFRB
DB05294,2268,FGR
DB05294,3815,KIT
DB05294,2260,FGFR1
DB05294,6714,SRC
DB05294,5261,PHKG2
DB05294,2321,FLT1
DB05294,2263,FGFR2
DB05294,2065,ERBB3
DB05294,2264,FGFR4
DB05294,2261,FGFR3
DB05294,6198,RPS6KB1
DB05294,1969,EPHA2
DB05294,2042,EPHA3
DB05294,2046,EPHA8
DB05294,2324,FLT4
DB05294,3791,KDR
DB05294,2322,FLT3
DB05294,1445,CSK
DB05294,27,ABL2
DB05294,2444,FRK
DB05294,1454,CSNK1E
DB05294,1022,CDK7
DB05294,3654,IRAK1
DB05294,2044,EPHA5
DB05294,2050,EPHB4
DB05294,2047,EPHB1
DB05294,2043,EPHA4
DB05294,30811,HUNK
DB05294,54101,RIPK4
DB05294,7010,TEK
DB05294,4486,MST1R
DB05294,695,BTK
DB05294,5871,MAP4K2
DB05294,5562,PRKAA1
DB05294,5607,MAP2K5
DB05294,5753,PTK6
DB05294,2066,ERBB4
DB05294,2045,EPHA7
DB05294,5260,PHKG1
DB05294,80122,MAP3K19
DB05294,25989,ULK3
DB05294,50488,MINK1
DB05294,140901,STK35
DB05294,11184,MAP4K1
DB05294,9748,SLK
DB05294,2872,MKNK2
DB05294,51135,IRAK4
DB05294,285220,EPHA6
DB05294,23043,TNIK
DB05294,23387,SIK3
DB05294,11183,MAP4K5
DB05294,4216,MAP3K4
DB05424,658,BMPR1B
DB05424,5609,MAP2K7
DB05424,2580,GAK
DB05424,2051,EPHB6
DB05424,6885,MAP3K7
DB05424,8767,RIPK2
DB05424,9262,STK17B
DB05424,6793,STK10
DB05424,25,ABL1
DB05424,1956,EGFR
DB05424,2064,ERBB2
DB05424,3932,LCK
DB05424,2534,FYN
DB05424,7525,YES1
DB05424,4067,LYN
DB05424,5979,RET
DB05424,4233,MET
DB05424,3055,HCK
DB05424,2268,FGR
DB05424,3815,KIT
DB05424,6714,SRC
DB05424,2321,FLT1
DB05424,2065,ERBB3
DB05424,2042,EPHA3
DB05424,2046,EPHA8
DB05424,4058,LTK
DB05424,5596,MAPK4
DB05424,2322,FLT3
DB05424,1445,CSK
DB05424,27,ABL2
DB05424,2444,FRK
DB05424,1453,CSNK1D
DB05424,1454,CSNK1E
